2026-08-10-22:27:59,ETL process started
2026-08-10-22:27:59,Data extracted successfully
2026-08-10-22:27:59,Data transformed successfully
2026-08-10-22:27:59,Data loaded successfully to CSV
2026-08-10-22:27:59,Data loaded successfully to DB
